SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.087
Elongation till break,1-Preload,0.200,44,0,0.010
Elongation till break,1-Preload,0.400,44,0,0.010
Elongation till break,1-Stretch,0.410,44,0,0.010
Elongation till break,1-Stretch,0.610,44.362,0.362,0.083
Elongation till break,1-Stretch,0.810,44.803,0.803,0.276
Elongation till break,1-Stretch,1.010,45.244,1.244,0.518
Elongation till break,1-Stretch,1.210,45.685,1.685,0.712
Elongation till break,1-Stretch,1.410,46.126,2.126,0.978
Elongation till break,1-Stretch,1.610,46.567,2.567,1.075
Elongation till break,1-Stretch,1.810,47.008,3.008,1.244
Elongation till break,1-Stretch,2.010,47.449,3.449,1.487
Elongation till break,1-Stretch,2.210,47.89,3.89,1.656
Elongation till break,1-Stretch,2.410,48.331,4.331,1.801
Elongation till break,1-Stretch,2.610,48.773,4.773,1.995
Elongation till break,1-Stretch,2.810,49.214,5.214,2.237
Elongation till break,1-Stretch,3.010,49.655,5.655,2.552
Elongation till break,1-Stretch,3.210,50.096,6.096,2.794
Elongation till break,1-Stretch,3.410,50.537,6.537,3.084
Elongation till break,1-Stretch,3.610,50.978,6.978,3.350
Elongation till break,1-Stretch,3.810,51.419,7.419,3.617
Elongation till break,1-Stretch,4.010,51.86,7.86,3.907
Elongation till break,1-Stretch,4.210,52.301,8.301,4.246
Elongation till break,1-Stretch,4.410,52.742,8.742,4.537
Elongation till break,1-Stretch,4.610,53.183,9.183,4.924
Elongation till break,1-Stretch,4.810,53.624,9.624,5.311
Elongation till break,1-Stretch,5.010,54.066,10.066,5.674
Elongation till break,1-Stretch,5.210,54.507,10.507,6.110
Elongation till break,1-Stretch,5.410,54.948,10.948,6.473
Elongation till break,1-Stretch,5.610,55.389,11.389,6.860
Elongation till break,1-Stretch,5.810,55.83,11.83,7.175
Elongation till break,1-Stretch,6.010,56.271,12.271,7.635
Elongation till break,1-Stretch,6.210,56.712,12.712,8.071
Elongation till break,1-Stretch,6.410,57.153,13.153,8.531
Elongation till break,1-Stretch,6.610,57.594,13.594,8.991
Elongation till break,1-Stretch,6.810,58.035,14.035,9.572
Elongation till break,1-Stretch,7.010,58.476,14.476,10.056
Elongation till break,1-Stretch,7.210,58.918,14.918,10.613
Elongation till break,1-Stretch,7.410,59.358,15.358,11.145
Elongation till break,1-Stretch,7.610,59.8,15.8,11.581
Elongation till break,1-Stretch,7.810,60.241,16.241,12.186
Elongation till break,1-Stretch,8.010,60.682,16.682,12.670
Elongation till break,1-Stretch,8.210,61.123,17.123,13.251
Elongation till break,1-Stretch,8.410,61.564,17.564,13.880
Elongation till break,1-Stretch,8.610,62.005,18.005,14.461
Elongation till break,1-Stretch,8.810,62.446,18.446,15.163
Elongation till break,1-Stretch,9.010,62.887,18.887,15.744
Elongation till break,1-Stretch,9.210,63.328,19.328,16.180
Elongation till break,1-Stretch,9.410,63.77,19.77,16.858
Elongation till break,1-Stretch,9.610,64.21,20.21,17.439
Elongation till break,1-Stretch,9.810,64.652,20.652,17.971
Elongation till break,1-Stretch,10.010,65.093,21.093,18.456
Elongation till break,1-Stretch,10.210,65.534,21.534,19.061
Elongation till break,1-Stretch,10.410,65.975,21.975,19.690
Elongation till break,1-Stretch,10.610,66.416,22.416,20.441
Elongation till break,1-Stretch,10.810,66.857,22.857,21.191
Elongation till break,1-Stretch,11.010,67.298,23.298,22.014
Elongation till break,1-Stretch,11.210,67.739,23.739,22.716
Elongation till break,1-Stretch,11.410,68.18,24.18,23.370
Elongation till break,1-Stretch,11.610,68.622,24.622,24.096
Elongation till break,1-Stretch,11.810,69.062,25.062,24.895
Elongation till break,1-Stretch,12.010,69.504,25.504,25.766
Elongation till break,1-Stretch,12.210,69.944,25.944,26.541
Elongation till break,1-Stretch,12.410,70.386,26.386,27.315
Elongation till break,1-Stretch,12.610,70.827,26.827,28.235
Elongation till break,1-Stretch,12.810,71.268,27.268,29.010
Elongation till break,1-Stretch,13.010,71.709,27.709,29.857
Elongation till break,1-Stretch,13.210,72.15,28.15,30.656
Elongation till break,1-Stretch,13.410,72.591,28.591,30.971
Elongation till break,1-Stretch,13.610,73.032,29.032,31.237
Elongation till break,1-Stretch,13.810,73.473,29.473,32.011
Elongation till break,1-Stretch,14.010,73.914,29.914,32.931
Elongation till break,1-Stretch,14.210,74.356,30.356,33.779
Elongation till break,1-Stretch,14.410,74.796,30.796,34.674
Elongation till break,1-Stretch,14.610,75.238,31.238,35.328
Elongation till break,1-Stretch,14.810,75.679,31.679,-0.256
Elongation till break,1-Stretch,15.010,76.12,32.12,-0.038
Elongation till break,1-Stretch,15.210,76.561,32.561,0.179
Elongation till break,1-Stretch,15.410,77.002,33.002,0.228
Elongation till break,1-Stretch,15.610,77.443,33.443,0.228
Elongation till break,1-Stretch,15.810,77.884,33.884,0.228
Elongation till break,1-Stretch,16.010,78.325,34.325,0.276
Elongation till break,1-Stretch,16.210,78.766,34.766,0.252
Elongation till break,1-Stretch,16.410,79.207,35.207,0.252
Elongation till break,1-Stretch,16.610,79.648,35.648,0.325
Elongation till break,1-Stretch,16.810,80.09,36.09,0.228
Elongation till break,1-Stretch,17.010,80.531,36.531,0.300
Elongation till break,1-Stretch,17.210,80.972,36.972,0.373
Elongation till break,1-Stretch,17.410,81.413,37.413,0.349
Elongation till break,1-Stretch,17.610,81.854,37.854,0.397
Elongation till break,1-Stretch,17.810,82.295,38.295,0.397
Elongation till break,1-Stretch,18.010,82.736,38.736,0.421
Elongation till break,1-Stretch,18.210,83.177,39.177,0.421
Elongation till break,1-Stretch,18.410,83.618,39.618,0.421
Elongation till break,1-Stretch,18.610,84.059,40.059,0.446
Elongation till break,1-Stretch,18.810,84.5,40.5,0.446
Elongation till break,1-Stretch,19.010,84.941,40.941,0.421
Elongation till break,1-Stretch,19.210,85.383,41.383,0.470
Elongation till break,1-Stretch,19.410,85.824,41.824,0.470
Elongation till break,1-Stretch,19.610,86.265,42.265,0.494
Elongation till break,1-Stretch,19.810,86.706,42.706,0.494
Elongation till break,1-Stretch,20.010,87.147,43.147,0.591
Elongation till break,1-Stretch,20.210,87.588,43.588,0.615
