SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.003
Elongation till break,1-Preload,0.200,44,0,-0.003
Elongation till break,1-Preload,0.400,44,0,-0.003
Elongation till break,1-Stretch,0.410,44,0,-0.003
Elongation till break,1-Stretch,0.610,44.362,0.362,0.263
Elongation till break,1-Stretch,0.810,44.803,0.803,0.965
Elongation till break,1-Stretch,1.010,45.244,1.244,1.619
Elongation till break,1-Stretch,1.210,45.685,1.685,2.297
Elongation till break,1-Stretch,1.410,46.126,2.126,3.095
Elongation till break,1-Stretch,1.610,46.567,2.567,3.967
Elongation till break,1-Stretch,1.810,47.009,3.009,4.814
Elongation till break,1-Stretch,2.010,47.449,3.449,5.758
Elongation till break,1-Stretch,2.210,47.891,3.891,6.654
Elongation till break,1-Stretch,2.410,48.332,4.332,7.598
Elongation till break,1-Stretch,2.610,48.773,4.773,8.590
Elongation till break,1-Stretch,2.810,49.214,5.214,9.583
Elongation till break,1-Stretch,3.010,49.655,5.655,10.720
Elongation till break,1-Stretch,3.210,50.096,6.096,11.761
Elongation till break,1-Stretch,3.410,50.537,6.537,12.851
Elongation till break,1-Stretch,3.610,50.978,6.978,13.843
Elongation till break,1-Stretch,3.810,51.419,7.419,14.908
Elongation till break,1-Stretch,4.010,51.86,7.86,15.998
Elongation till break,1-Stretch,4.210,52.301,8.301,16.990
Elongation till break,1-Stretch,4.410,52.743,8.743,18.079
Elongation till break,1-Stretch,4.610,53.183,9.183,19.241
Elongation till break,1-Stretch,4.810,53.625,9.625,20.379
Elongation till break,1-Stretch,5.010,54.066,10.066,21.493
Elongation till break,1-Stretch,5.210,54.507,10.507,22.630
Elongation till break,1-Stretch,5.410,54.948,10.948,23.792
Elongation till break,1-Stretch,5.610,55.389,11.389,24.833
Elongation till break,1-Stretch,5.810,55.83,11.83,25.826
Elongation till break,1-Stretch,6.010,56.271,12.271,26.842
Elongation till break,1-Stretch,6.210,56.712,12.712,27.593
Elongation till break,1-Stretch,6.410,57.153,13.153,-0.584
Elongation till break,1-Stretch,6.610,57.594,13.594,-1.770
Elongation till break,1-Stretch,6.810,58.035,14.035,-1.770
Elongation till break,1-Stretch,7.010,58.477,14.477,-1.770
Elongation till break,1-Stretch,7.210,58.918,14.918,-1.673
Elongation till break,1-Stretch,7.410,59.359,15.359,-1.649
Elongation till break,1-Stretch,7.610,59.8,15.8,-1.649
Elongation till break,1-Stretch,7.810,60.241,16.241,-1.577
Elongation till break,1-Stretch,8.010,60.682,16.682,-1.649
Elongation till break,1-Stretch,8.210,61.123,17.123,-1.625
Elongation till break,1-Stretch,8.410,61.564,17.564,-1.601
Elongation till break,1-Stretch,8.610,62.005,18.005,-1.649
Elongation till break,1-Stretch,8.810,62.446,18.446,-1.552
Elongation till break,1-Stretch,9.010,62.887,18.887,-1.552
Elongation till break,1-Stretch,9.210,63.328,19.328,-1.577
Elongation till break,1-Stretch,9.410,63.77,19.77,-1.649
Elongation till break,1-Stretch,9.610,64.211,20.211,-1.601
Elongation till break,1-Stretch,9.810,64.652,20.652,-1.601
Elongation till break,1-Stretch,10.010,65.093,21.093,-1.577
Elongation till break,1-Stretch,10.210,65.534,21.534,-1.504
