SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.113
Elongation till break,1-Preload,0.200,44,0,-0.035
Elongation till break,1-Preload,0.400,44,0,-0.087
Elongation till break,1-Stretch,0.420,44,0,-0.087
Elongation till break,1-Stretch,0.620,44.372,0.372,0.299
Elongation till break,1-Stretch,0.820,44.813,0.813,0.789
Elongation till break,1-Stretch,1.020,45.254,1.254,1.123
Elongation till break,1-Stretch,1.220,45.695,1.695,1.458
Elongation till break,1-Stretch,1.420,46.137,2.137,1.870
Elongation till break,1-Stretch,1.620,46.578,2.578,2.179
Elongation till break,1-Stretch,1.820,47.019,3.019,2.617
Elongation till break,1-Stretch,2.020,47.46,3.46,3.029
Elongation till break,1-Stretch,2.220,47.901,3.901,3.364
Elongation till break,1-Stretch,2.420,48.342,4.342,3.853
Elongation till break,1-Stretch,2.620,48.783,4.783,4.316
Elongation till break,1-Stretch,2.820,49.224,5.224,4.831
Elongation till break,1-Stretch,3.020,49.665,5.665,5.346
Elongation till break,1-Stretch,3.220,50.107,6.107,5.861
Elongation till break,1-Stretch,3.420,50.547,6.547,6.479
Elongation till break,1-Stretch,3.620,50.988,6.988,6.968
Elongation till break,1-Stretch,3.820,51.43,7.43,7.586
Elongation till break,1-Stretch,4.020,51.871,7.871,8.153
Elongation till break,1-Stretch,4.220,52.312,8.312,8.745
Elongation till break,1-Stretch,4.420,52.753,8.753,9.518
Elongation till break,1-Stretch,4.620,53.194,9.194,10.161
Elongation till break,1-Stretch,4.820,53.635,9.635,10.857
Elongation till break,1-Stretch,5.020,54.076,10.076,11.552
Elongation till break,1-Stretch,5.220,54.517,10.517,12.247
Elongation till break,1-Stretch,5.420,54.958,10.958,12.891
Elongation till break,1-Stretch,5.620,55.399,11.399,13.483
Elongation till break,1-Stretch,5.820,55.841,11.841,13.869
Elongation till break,1-Stretch,6.020,56.282,12.282,14.204
Elongation till break,1-Stretch,6.220,56.722,12.722,-0.833
Elongation till break,1-Stretch,6.420,57.164,13.164,-0.782
Elongation till break,1-Stretch,6.620,57.605,13.605,-0.705
Elongation till break,1-Stretch,6.820,58.046,14.046,-0.628
Elongation till break,1-Stretch,7.020,58.487,14.487,-0.628
