SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44.001,0,0.032
Elongation till break,1-Preload,0.200,44.001,0,-0.001
Elongation till break,1-Preload,0.400,44.001,0,-0.001
Elongation till break,1-Stretch,0.420,44.001,0,-0.001
Elongation till break,1-Stretch,0.620,44.373,0.372,-0.097
Elongation till break,1-Stretch,0.820,44.814,0.813,-0.169
Elongation till break,1-Stretch,1.020,45.256,1.255,-0.221
Elongation till break,1-Stretch,1.220,45.697,1.696,-0.231
Elongation till break,1-Stretch,1.420,46.138,2.137,-0.140
Elongation till break,1-Stretch,1.620,46.579,2.578,-0.078
Elongation till break,1-Stretch,1.820,47.02,3.019,-0.083
Elongation till break,1-Stretch,2.020,47.461,3.46,-0.039
Elongation till break,1-Stretch,2.220,47.902,3.901,-0.016
Elongation till break,1-Stretch,2.420,48.343,4.342,-0.197
Elongation till break,1-Stretch,2.620,48.784,4.783,-0.279
Elongation till break,1-Stretch,2.820,49.225,5.224,-0.279
Elongation till break,1-Stretch,3.020,49.667,5.666,-0.164
Elongation till break,1-Stretch,3.220,50.108,6.107,0.008
Elongation till break,1-Stretch,3.420,50.549,6.548,0.205
Elongation till break,1-Stretch,3.620,50.99,6.989,0.329
Elongation till break,1-Stretch,3.820,51.431,7.43,0.444
Elongation till break,1-Stretch,4.020,51.872,7.871,0.502
Elongation till break,1-Stretch,4.220,52.313,8.312,0.516
Elongation till break,1-Stretch,4.420,52.754,8.753,0.521
Elongation till break,1-Stretch,4.620,53.196,9.195,0.554
Elongation till break,1-Stretch,4.820,53.637,9.636,-1.634
Elongation till break,1-Stretch,5.020,54.078,10.077,-0.446
Elongation till break,1-Stretch,5.220,54.519,10.518,-1.940
Elongation till break,1-Stretch,5.420,54.96,10.959,-1.342
Elongation till break,1-Stretch,5.620,55.401,11.4,-1.662
