SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Stretch,0.81,44.811,0,-0.025
Elongation till break,1-Stretch,1.01,45.252,0.441,0.045
Elongation till break,1-Stretch,1.21,45.693,0.882,0.154
Elongation till break,1-Stretch,1.41,46.134,1.323,0.342
Elongation till break,1-Stretch,1.61,46.575,1.764,0.585
Elongation till break,1-Stretch,1.81,47.016,2.205,0.857
Elongation till break,1-Stretch,2.01,47.457,2.646,1.105
Elongation till break,1-Stretch,2.21,47.898,3.087,1.274
Elongation till break,1-Stretch,2.41,48.339,3.528,1.517
Elongation till break,1-Stretch,2.61,48.78,3.969,1.809
Elongation till break,1-Stretch,2.81,49.221,4.41,0.109
Elongation till break,1-Stretch,3.01,49.662,4.851,0.114
Elongation till break,1-Stretch,3.21,50.104,5.293,-1.348
Elongation till break,1-Stretch,3.41,50.545,5.734,-1.224
Elongation till break,1-Stretch,3.61,50.986,6.175,-1.393
Elongation till break,1-Stretch,3.81,51.427,6.616,-1.472
Elongation till break,1-Stretch,4.01,51.868,7.057,-1.477
Elongation till break,1-Stretch,4.21,52.309,7.498,-1.566
Elongation till break,1-Stretch,4.41,52.75,7.939,-1.646
Elongation till break,1-Stretch,4.61,53.191,8.38,-1.571
